sid,signal_date,entry_date,exit_date,hold_days,entry_open,exit_close,r_i,b_i,alpha_i,b_i_21d,alpha_i_21d,b_i_adj,alpha_i_adj,bench_n_entry,score,yoy,year,branch_era,status
6456,2017-05-24,2017-05-25,2017-06-23,20,175.778988,168.703812,-0.04467540808631808,0.012200466104167473,-0.05687587419048555,0.016762344131030282,-0.06143775221734836,0.013456033029983328,-0.058131441116301405,1655,2,0.500862,2017,False,closed
3376,2017-05-31,2017-06-01,2017-06-28,20,62.487805,67.644236,0.07809399710671551,0.010787968000122383,0.06730602910659313,0.014322237854060615,0.0637717592526549,0.012686791608164105,0.0654072054985514,1655,2,0.307075,2017,False,closed
2337,2017-05-31,2017-06-01,2017-06-28,20,22.550875,24.594075,0.08617902312548832,0.010787968000122383,0.07539105512536594,0.014322237854060615,0.0718567852714277,0.012686791608164105,0.07349223151732422,1655,0,0.175405,2017,False,closed
4991,2017-06-01,2017-06-02,2017-06-29,20,59.269669,63.078535,0.05983832497318321,0.003938573260686917,0.055899751712496296,0.009062336340468491,0.05077598863271472,0.006637170091571498,0.053201154881611715,1660,2,0.324945,2017,False,closed
8436,2017-06-20,2017-06-21,2017-07-19,20,91.357248,101.156478,0.10283775379923878,0.0011260411308759988,0.10171171266836278,0.006171243735074494,0.09666651006416428,0.0137385141411408,0.08909923965809798,1665,0,0.321021,2017,False,closed
2882,2017-06-26,2017-06-27,2017-07-25,20,32.0583,32.465586,0.008279541413611992,-0.002447471723312944,0.010727013136924935,-0.002050796217956896,0.010330337631568888,0.012147909553402947,-0.0038683681397909554,1674,2,0.607751,2017,False,closed
2548,2017-06-30,2017-07-03,2017-07-31,20,28.658178,28.41815,-0.012800549904114599,-9.426558468017543e-05,-0.012706284319434423,0.0011630828395989834,-0.013963632743713582,0.015217096207461145,-0.028017646111575742,1656,2,1.399956,2017,False,closed
2809,2017-06-30,2017-07-03,2017-07-31,20,23.001246,22.891192,-0.00920969731596276,-9.426558468017543e-05,-0.009115431731282585,0.0011630828395989834,-0.010372780155561744,0.015217096207461145,-0.024426793523423904,1656,2,0.376625,2017,False,closed
2408,2017-06-30,2017-07-03,2017-07-31,20,40.984769,46.246828,0.12396559798043517,-9.426558468017543e-05,0.12405986356511535,0.0011630828395989834,0.12280251514083619,0.015217096207461145,0.10874850177297403,1656,0,0.420567,2017,False,closed
6139,2017-07-19,2017-07-20,2017-08-17,20,24.680156,24.411162,-0.015324201771658151,-0.017194498760428556,0.0018702969887704046,-0.017095455533231774,0.0017712537615736223,-0.008656483824461603,-0.006667717947196549,1666,2,0.53819,2017,False,closed
6456,2017-07-25,2017-07-26,2017-08-23,20,220.4345,247.071944,0.11641563066353035,-0.006799086984221936,0.12321471764775228,-0.007297275550408933,0.12371290621393928,0.0006646708889594954,0.11575095977457085,1667,2,1.788688,2017,False,closed
3441,2017-07-31,2017-08-01,2017-08-29,20,35.641698,42.81583,0.19685979849641277,0.002427348814585839,0.19443244968182694,0.007052852060538628,0.18980694643587415,0.011067806589570184,0.1857919919068426,1661,0,0.512085,2017,False,closed
3455,2017-08-01,2017-08-02,2017-08-30,20,32.489185,32.315136,-0.009782136536358054,0.00729581269771451,-0.017077949234072562,0.00821964088623317,-0.018001777422591222,0.015450650827774526,-0.025232787364132578,1670,0,1.234678,2017,False,closed
4721,2017-08-01,2017-08-02,2017-08-30,20,37.88672,83.156876,1.1904569005709655,0.00729581269771451,1.183161087873251,0.00821964088623317,1.1822372596847324,0.015450650827774526,1.175006249743191,1670,0,0.672676,2017,False,closed
2376,2017-08-17,2017-08-18,2017-09-15,20,25.881469,25.782935,-0.008232125476533058,0.05376523721123827,-0.061997362687771326,0.053803953898857504,-0.06203607937539056,0.059401470400768375,-0.06763359587730143,1658,0,0.262944,2017,False,closed
1515,2017-08-23,2017-08-24,2017-09-21,20,26.033769,31.580737,0.20864318847474606,0.039786188087719054,0.168857000387027,0.04639860464240719,0.16224458383233886,0.04329785794757801,0.16534533052716804,1664,2,0.511701,2017,False,closed
4939,2017-08-29,2017-08-30,2017-09-27,20,14.124332,12.507923,-0.11886644756721952,0.0026826892949824988,-0.12154913686220202,0.008476456791897569,-0.1273429043591171,0.0045630316695066675,-0.12342947923672619,1656,2,0.364169,2017,False,closed
2456,2017-08-30,2017-08-31,2017-09-28,20,100.124413,99.917837,-0.006488193119544171,-0.000241935889018996,-0.006246257230525175,0.00409243771485035,-0.010580630834394521,0.0012862089161733703,-0.0077744020357175415,1662,2,0.890457,2017,False,closed
4129,2017-08-30,2017-08-31,2017-09-28,20,53.850745,52.940592,-0.021326400342743676,-0.000241935889018996,-0.02108446445372468,0.00409243771485035,-0.025418838057594026,0.0012862089161733703,-0.022612609258917046,1662,2,0.860417,2017,False,closed
2344,2017-09-15,2017-09-18,2017-10-18,20,20.151348,21.562726,0.06561388772105982,4.1428975112944855e-05,0.06557245874594687,0.001976685811599266,0.06363720190946055,0.0003274149886496325,0.06528647273241019,1670,0,0.184876,2017,False,closed
3498,2017-09-21,2017-09-22,2017-10-24,20,77.056686,68.848741,-0.11094327149690807,0.017219913496471673,-0.12816318499337975,0.008762111897531843,-0.11970538339443991,0.016818962734130416,-0.1277622342310385,1666,2,0.9308,2017,False,closed
3576,2017-09-27,2017-09-28,2017-10-30,20,25.745163,26.954668,0.04255489288317972,0.021263134359055247,0.021291758524124474,0.02269900645029943,0.01985588643288029,0.020763167930601067,0.021791724952578653,1663,2,0.183758,2017,False,closed
