date,source,market,stock_id,available_volume,susp_margin_short,susp_sbl_short,no_below_flat
2026-09-03,TWT96U,twse,00903,86037,,,
2026-09-03,TWT96U,tpex,1742,27885,,,
2026-09-03,TWT96U,twse,00904,323483,,,
2026-09-03,TWT96U,tpex,1777,8490,,,
2026-09-03,TWT96U,twse,00905,413857,,,
2026-09-03,TWT96U,tpex,1781,6044,,,
2026-09-03,TWT96U,twse,00907,330448,,,
2026-09-03,TWT96U,tpex,1784,29459,,,
2026-09-03,TWT96U,twse,00908,48912,,,
2026-09-03,TWT96U,tpex,1785,1949796,,,
2026-09-03,TWT96U,twse,00909,317384,,,
2026-09-03,TWT96U,tpex,1788,6610,,,
2026-09-03,TWT96U,twse,00910,261986,,,
2026-09-03,TWT96U,tpex,1796,6749,,,
2026-09-03,TWT96U,twse,00911,188632,,,
2026-09-03,TWT96U,tpex,1813,5062,,,
2026-09-03,TWT96U,twse,00912,146207,,,
2026-09-03,TWT96U,tpex,1815,12593736,,,
2026-09-03,TWT96U,twse,00913,535165,,,
2026-09-03,TWT96U,tpex,2061,708149,,,
2026-09-03,TWT96U,twse,00915,777270,,,
2026-09-03,TWT96U,tpex,2063,8111,,,
2026-09-03,TWT96U,twse,00916,225809,,,
2026-09-03,TWT96U,tpex,2064,34276,,,
2026-09-03,TWT96U,twse,00917,172049,,,
2026-09-03,TWT96U,tpex,2065,21657,,,
2026-09-03,TWT96U,twse,00918,6113895,,,
2026-09-03,TWT96U,tpex,2066,29399,,,
2026-09-03,TWT96U,twse,00919,18178077,,,
2026-09-03,TWT96U,tpex,2070,93917,,,
2026-09-03,TWT96U,twse,00920,75282,,,
2026-09-03,TWT96U,tpex,2221,257373,,,
2026-09-03,TWT96U,twse,00921,50898,,,
2026-09-03,TWT96U,tpex,2230,41331,,,
2026-09-03,TWT96U,twse,00922,2784633,,,
2026-09-03,TWT96U,tpex,2235,1470,,,
2026-09-03,TWT96U,twse,00923,2747499,,,
2026-09-03,TWT96U,tpex,2596,18591,,,
2026-09-03,TWT96U,twse,00924,432826,,,
2026-09-03,TWT96U,tpex,2640,8918,,,
2026-09-03,TWT96U,twse,00926,266274,,,
2026-09-03,TWT96U,tpex,2641,990816,,,
2026-09-03,TWT96U,twse,00927,5009711,,,
2026-09-03,TWT96U,tpex,2643,8393,,,
2026-09-03,TWT96U,twse,00929,9465443,,,
2026-09-03,TWT96U,tpex,2718,19378,,,
2026-09-03,TWT96U,twse,00930,160323,,,
2026-09-03,TWT96U,tpex,2719,4514,,,
2026-09-03,TWT96U,twse,00932,112624,,,
2026-09-03,TWT96U,tpex,2729,10109,,,
2026-09-03,TWT96U,twse,00934,723117,,,
2026-09-03,TWT96U,tpex,2732,7098,,,
2026-09-03,TWT96U,twse,00935,3874154,,,
2026-09-03,TWT96U,tpex,2734,18357,,,
2026-09-03,TWT96U,twse,00936,306198,,,
2026-09-03,TWT96U,tpex,2736,23757,,,
2026-09-03,TWT96U,twse,00938,425294,,,
2026-09-03,TWT96U,tpex,2743,25434,,,
2026-09-03,TWT96U,twse,00939,1049121,,,
2026-09-03,TWT96U,tpex,2745,37884,,,
2026-09-03,TWT96U,twse,00940,4421380,,,
2026-09-03,TWT96U,tpex,2751,2602,,,
2026-09-03,TWT96U,twse,00941,783903,,,
2026-09-03,TWT96U,tpex,2754,11919,,,
2026-09-03,TWT96U,twse,00943,69240,,,
2026-09-03,TWT96U,tpex,2755,9627,,,
2026-09-03,TWT96U,twse,00944,92790,,,
2026-09-03,TWT96U,tpex,2756,7751,,,
2026-09-03,TWT96U,twse,00945B,1422164,,,
2026-09-03,TWT96U,tpex,2916,13337,,,
2026-09-03,TWT96U,twse,00946,702601,,,
2026-09-03,TWT96U,tpex,2926,4393,,,
2026-09-03,TWT96U,twse,00947,2461585,,,
2026-09-03,TWT96U,tpex,3066,275545,,,
2026-09-03,TWT96U,twse,00949,157857,,,
