id,event_date,yoy,year,is_2022
6155,2026-05-20,0.153813,2026,False
6161,2022-03-24,0.405706,2022,True
6166,2026-05-13,0.631645,2026,False
6169,2024-06-21,0.373163,2024,False
6174,2022-04-08,0.427905,2022,True
6174,2024-11-15,0.296064,2024,False
6176,2022-04-19,0.155773,2022,True
6179,2023-02-15,0.223671,2023,False
6179,2023-04-13,1.784266,2023,False
6179,2023-11-06,0.790483,2023,False
6179,2025-08-27,0.492048,2025,False
6186,2021-09-23,2.596561,2021,False
6188,2022-07-19,0.766527,2022,True
6191,2025-07-22,0.62312,2025,False
6192,2022-09-08,0.163442,2022,True
6194,2023-07-28,0.382989,2023,False
6196,2021-11-11,0.496073,2021,False
6197,2024-06-13,0.775441,2024,False
6197,2026-03-11,0.203229,2026,False
6199,2022-02-11,0.514394,2022,True
6202,2021-07-12,0.235049,2021,False
6203,2023-06-06,0.173519,2023,False
6205,2022-10-19,0.383745,2022,True
6206,2022-06-08,0.195541,2022,True
6206,2022-08-04,0.502243,2022,True
6209,2026-01-26,0.743733,2026,False
6215,2026-01-23,0.424152,2026,False
6217,2022-04-21,0.246566,2022,True
6221,2022-07-29,0.751722,2022,True
6221,2023-08-11,0.205589,2023,False
6221,2023-12-11,1.147451,2023,False
6223,2024-06-12,0.197551,2024,False
6227,2021-08-11,0.454209,2021,False
6227,2022-03-14,0.3244,2022,True
6228,2021-11-10,0.541679,2021,False
6235,2021-12-30,0.348522,2021,False
6235,2022-03-23,0.329598,2022,True
6240,2023-03-06,1.931227,2023,False
6241,2021-09-13,0.912927,2021,False
6242,2023-04-10,1.052463,2023,False
6244,2022-12-12,0.203717,2022,True
6248,2022-01-11,1.404554,2022,True
6248,2022-12-01,0.178949,2022,True
6257,2022-06-07,0.219784,2022,True
6257,2026-04-13,0.167468,2026,False
6259,2021-11-17,2.122828,2021,False
6263,2022-07-21,0.461191,2022,True
6263,2023-07-03,0.352134,2023,False
6263,2024-05-23,0.165189,2024,False
6266,2021-07-12,0.733798,2021,False
6269,2022-11-01,0.501357,2022,True
