date,cb_id,cb_name,transaction_type,close,change,open,max,min,no_of_transactions,unit,trading_value,avg_price,next_ref_price,next_max_limit,next_min_limit
2015-07-22,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,158.4,153.0,168.0,137.7
2015-07-23,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,158.4,153.0,168.0,137.7
2015-07-24,99442,新麗二,等價,148.1,-4.9,148.1,148.1,148.1,1,2,296200,148.1,148.1,162.0,133.3
2015-07-27,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,148.1,162.0,133.3
2015-07-28,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,148.1,162.0,133.3
2015-07-29,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,148.1,162.0,133.3
2015-07-30,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,148.1,162.0,133.3
2015-07-31,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,148.1,162.0,133.3
2015-08-03,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,148.1,162.0,133.3
2015-08-04,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,148.1,162.0,133.3
2015-08-05,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,148.1,162.0,133.3
2015-08-06,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,143.0,157.0,128.7
2015-08-07,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,143.0,157.0,128.7
2015-08-10,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,143.0,157.0,128.7
2015-08-11,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,143.0,157.0,128.7
2015-08-12,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,143.0,157.0,128.7
2015-08-13,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,143.0,157.0,128.7
2015-08-14,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,143.0,157.0,128.7
2015-08-17,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,143.0,157.0,128.7
2015-08-18,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,143.0,157.0,128.7
2015-08-19,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,143.0,157.0,128.7
2015-08-20,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,142.8,157.0,128.55
2015-08-21,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,136.8,150.0,123.15
2015-08-24,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,124.8,137.25,112.35
2015-08-25,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,122.9,135.15,110.65
2015-08-26,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,122.9,135.15,110.65
2015-08-27,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,122.8,135.05,110.55
2015-08-28,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,122.8,135.05,110.55
2015-08-31,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,122.8,135.05,110.55
2015-09-01,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,122.8,135.05,110.55
2015-09-02,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,122.8,135.05,110.55
2015-09-03,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,122.8,135.05,110.55
2015-09-04,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,122.8,135.05,110.55
2015-09-07,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,122.8,135.05,110.55
2015-09-08,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,122.8,135.05,110.55
2015-09-09,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,122.8,135.05,110.55
2015-09-10,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,148.1,122.8,135.05,110.55
2015-09-11,99442,新麗二,等價,123.7,0.9,120.2,123.7,120.2,4,4,487200,121.8,123.7,136.05,111.35
2015-09-14,99442,新麗二,等價,125.0,1.3,125.0,125.0,125.0,2,2,250000,125.0,125.0,137.5,112.5
2015-09-15,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,125.0,137.5,112.5
2015-09-16,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,125.0,137.5,112.5
2015-09-17,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,125.0,137.5,112.5
2015-09-18,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,125.0,137.5,112.5
2015-09-21,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,125.0,137.5,112.5
2015-09-22,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,125.0,137.5,112.5
2015-09-23,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,125.0,137.5,112.5
2015-09-24,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,125.0,137.5,112.5
2015-09-25,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,125.0,137.5,112.5
2015-09-30,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,125.0,137.5,112.5
2015-10-01,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,125.0,137.5,112.5
2015-10-02,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,125.0,137.5,112.5
2015-10-05,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,125.0,137.5,112.5
2015-10-06,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,125.0,120.0,132.0,108.0
2015-10-07,99442,新麗二,等價,128.4,8.4,125.0,128.4,125.0,3,3,381200,127.06,128.4,141.2,115.6
2015-10-08,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,127.06,128.4,141.2,115.6
2015-10-12,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,127.06,128.4,141.2,115.6
2015-10-13,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,127.06,128.4,141.2,115.6
2015-10-14,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,127.06,128.4,141.2,115.6
2015-10-15,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,127.06,128.4,141.2,115.6
2015-10-16,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,127.06,128.4,141.2,115.6
2015-10-19,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,127.06,128.4,141.2,115.6
2015-10-20,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,127.06,128.4,141.2,115.6
2015-10-21,99442,新麗二,等價,124.4,-4.0,124.4,124.4,124.4,1,1,124400,124.4,124.4,136.8,112.0
2015-10-22,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.4,124.4,136.8,112.0
2015-10-23,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.4,124.4,136.8,112.0
2015-10-26,99442,新麗二,等價,130.0,5.6,126.8,130.4,126.8,5,5,644000,128.8,130.0,143.0,117.0
2015-10-27,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,128.8,130.0,143.0,117.0
2015-10-28,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,128.8,130.0,143.0,117.0
2015-10-29,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,128.8,130.0,143.0,117.0
2015-10-30,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,128.8,130.0,143.0,117.0
2015-11-02,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,128.8,130.0,143.0,117.0
2015-11-03,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,128.8,130.0,143.0,117.0
2015-11-04,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,128.8,130.0,143.0,117.0
2015-11-05,99442,新麗二,等價,124.6,-5.4,124.6,124.6,124.6,1,1,124600,124.6,124.6,137.05,112.15
2015-11-06,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.6,124.6,137.05,112.15
2015-11-09,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.6,124.6,137.05,112.15
2015-11-10,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.6,124.6,137.05,112.15
2015-11-11,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.6,124.6,137.05,112.15
2015-11-12,99442,新麗二,等價,124.1,-0.5,124.1,124.1,124.1,1,1,124100,124.1,124.1,136.5,111.7
2015-11-13,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-11-16,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-11-17,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-11-18,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-11-19,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-11-20,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-11-23,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-11-24,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-11-25,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-11-26,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-11-27,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-11-30,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-12-01,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-12-02,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,124.1,136.5,111.7
2015-12-03,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,124.1,118.1,129.9,106.3
2015-12-04,99442,新麗二,等價,114.95,-3.15,114.95,114.95,114.95,1,1,114950,114.95,114.95,126.4,103.5
2015-12-07,99442,新麗二,等價,116.0,1.05,115.65,116.0,115.65,2,3,347650,115.88,116.0,127.6,104.4
2015-12-08,99442,新麗二,等價,115.2,-0.8,115.2,115.2,115.2,2,2,230400,115.2,115.2,126.7,103.7
2015-12-09,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,115.2,115.2,126.7,103.7
2015-12-10,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,115.2,115.2,126.7,103.7
2015-12-11,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,115.2,115.2,126.7,103.7
2015-12-14,99442,新麗二,等價,105.75,-9.45,108.95,108.95,105.75,8,33,3500850,106.08,105.75,116.3,95.2
2015-12-15,99442,新麗二,等價,106.75,1.0,105.8,106.75,105.8,4,6,637250,106.2,106.75,117.4,96.1
2015-12-16,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.2,106.75,117.4,96.1
2015-12-17,99442,新麗二,等價,106.75,0.0,106.75,106.75,106.75,1,1,106750,106.75,106.75,117.4,96.1
2015-12-18,99442,新麗二,等價,108.0,1.25,108.2,108.2,108.0,3,11,1190000,108.18,108.0,118.8,97.2
2015-12-21,99442,新麗二,等價,107.0,-1.0,106.35,107.0,106.35,4,14,1494100,106.72,107.0,117.7,96.3
2015-12-22,99442,新麗二,等價,106.85,-0.15,106.9,106.9,106.85,2,4,427500,106.87,106.85,117.5,96.2
2015-12-23,99442,新麗二,等價,107.05,0.2,107.05,107.05,107.05,1,3,321150,107.05,107.05,117.75,96.35
2015-12-24,99442,新麗二,等價,107.0,-0.05,107.0,107.0,107.0,2,5,535000,107.0,107.0,117.7,96.3
2015-12-25,99442,新麗二,等價,107.0,0.0,107.0,107.0,107.0,1,3,321000,107.0,107.0,117.7,96.3
2015-12-28,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,107.0,107.0,117.7,96.3
2015-12-29,99442,新麗二,等價,106.55,-0.45,106.55,106.55,106.55,1,3,319650,106.55,106.55,117.2,95.9
2015-12-30,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.55,106.55,117.2,95.9
2015-12-31,99442,新麗二,等價,109.5,2.95,106.05,109.5,106.05,16,42,4542200,108.14,109.5,120.45,98.55
2016-01-04,99442,新麗二,等價,106.15,-3.35,106.15,106.15,106.15,1,2,212300,106.15,106.15,116.75,95.55
2016-01-05,99442,新麗二,等價,106.05,-0.1,106.05,106.05,106.05,1,1,106050,106.05,106.05,116.65,95.45
2016-01-06,99442,新麗二,等價,105.0,-1.05,105.8,105.8,105.0,6,17,1787750,105.16,105.0,115.5,94.5
2016-01-07,99442,新麗二,等價,103.5,-1.5,103.5,103.5,103.5,1,10,1035000,103.5,103.5,113.85,93.15
2016-01-08,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.5,103.5,113.85,93.15
2016-01-11,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.5,103.2,113.5,92.9
2016-01-12,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.5,102.45,112.65,92.25
2016-01-13,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.5,102.45,112.65,92.25
2016-01-14,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.5,101.9,112.05,91.75
2016-01-15,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.5,101.9,112.05,91.75
2016-01-18,99442,新麗二,等價,102.0,0.1,101.8,102.0,101.8,2,20,2038000,101.9,102.0,112.2,91.8
2016-01-19,99442,新麗二,等價,102.8,0.8,102.8,102.8,102.8,1,2,205600,102.8,102.8,113.05,92.55
2016-01-20,99442,新麗二,等價,102.0,-0.8,102.0,102.0,102.0,1,15,1530000,102.0,102.0,112.2,91.8
2016-01-21,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,102.0,102.0,112.2,91.8
2016-01-22,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,102.0,102.0,112.2,91.8
2016-01-25,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,102.0,102.0,112.2,91.8
2016-01-26,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,102.0,102.0,112.2,91.8
2016-01-27,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,102.0,102.0,112.2,91.8
2016-01-28,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,102.0,102.0,112.2,91.8
2016-01-29,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,102.0,102.0,112.2,91.8
2016-02-01,99442,新麗二,等價,103.0,0.05,102.95,103.5,102.95,4,14,1444350,103.16,103.0,113.3,92.7
2016-02-02,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.16,103.0,113.3,92.7
2016-02-03,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.16,103.0,113.3,92.7
2016-02-04,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.16,103.0,113.3,92.7
2016-02-05,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.16,103.0,113.3,92.7
2016-02-15,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.16,103.0,113.3,92.7
2016-02-16,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.16,103.0,113.3,92.7
2016-02-17,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.16,103.0,113.3,92.7
2016-02-18,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.16,103.0,113.3,92.7
2016-02-19,99442,新麗二,等價,104.0,1.0,103.0,105.0,103.0,9,49,5089150,103.86,104.0,114.4,93.6
2016-02-22,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,103.86,104.0,114.4,93.6
2016-02-23,99442,新麗二,等價,107.45,3.45,106.0,107.45,106.0,2,12,1279250,106.6,107.45,118.15,96.75
2016-02-24,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.6,107.45,118.15,96.75
2016-02-25,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.6,107.45,118.15,96.75
2016-02-26,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.6,107.45,118.15,96.75
2016-03-01,99442,新麗二,等價,108.2,0.75,108.2,108.2,108.2,1,1,108200,108.2,108.2,119.0,97.4
2016-03-02,99442,新麗二,等價,106.05,-2.15,106.05,106.05,106.05,1,1,106050,106.05,106.05,116.65,95.45
2016-03-03,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.05,106.05,116.65,95.45
2016-03-04,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.05,106.2,116.8,95.6
2016-03-07,99442,新麗二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,106.05,106.2,116.8,95.6
