date,stock_id,stock_name,disposition_cnt,condition,measure,period_start,period_end
2021-07-27,031161,長榮國泰0C購01,1,連續三次,第一次處置,2021-07-28,2021-08-10
2021-08-02,031334,長榮元大0A購16,1,連續三次,第一次處置,2021-08-03,2021-08-16
2021-05-24,031566,華榮凱基0A購01,1,連續三次,第一次處置,2021-05-25,2021-06-07
2021-08-02,031668,長榮元大0B購04,1,連續三次,第一次處置,2021-08-03,2021-08-16
2021-08-02,031965,長榮元大0A購20,1,連續三次,第一次處置,2021-08-03,2021-08-16
2021-07-28,032264,台航元大0A購02,1,連續三次,第一次處置,2021-07-29,2021-08-11
2021-07-28,032265,台航元大0B購01,1,連續三次,第一次處置,2021-07-29,2021-08-11
2021-09-10,032535,長榮凱基0A購17,1,連續三次,第一次處置,2021-09-13,2021-09-28
2021-08-13,032537,長榮凱基14購05,1,連續三次,第一次處置,2021-08-16,2021-08-27
2021-08-05,032559,長榮群益0C購06,1,連續三次,第一次處置,2021-08-06,2021-08-19
2021-09-24,032718,長榮群益0C購07,1,連續三次,第一次處置,2021-09-27,2021-10-08
2021-07-27,033284,長榮統一12購03,3,連續三次,第一次處置,2021-07-28,2021-08-10
2021-07-30,033284,長榮統一12購03,3,連續三次,第二次處置,2021-08-02,2021-08-13
2021-08-04,033284,長榮統一12購03,3,連續三次,第二次處置,2021-08-05,2021-08-18
2021-07-08,033285,長榮統一15購01,1,連續三次,第一次處置,2021-07-09,2021-07-22
2026-04-16,033441,貿聯凱基54購04,1,連續三次,第一次處置,2026-04-17,2026-04-30
2021-05-19,033864,聯發科第一15購02,1,連續三次,第一次處置,2021-05-20,2021-06-02
2021-05-19,033865,聯發科第一15購03,1,連續三次,第一次處置,2021-05-20,2021-06-02
2023-02-01,033904,裕民元富27購01,1,連續三次,第一次處置,2023-02-02,2023-02-15
2021-11-23,034421,萬海統一11購03,1,連續三次,第一次處置,2021-11-24,2021-12-07
2021-11-01,034607,萬海統一0C購06,2,連續三次,第一次處置,2021-11-02,2021-11-15
2021-11-04,034607,萬海統一0C購06,2,連續三次,第二次處置,2021-11-05,2021-11-18
2021-07-26,034672,長榮凱基0B購10,1,連續三次,第一次處置,2021-07-27,2021-08-09
2021-07-12,034683,長榮第一15購01,4,連續三次,第一次處置,2021-07-13,2021-07-26
2021-07-27,034683,長榮第一15購01,4,連續三次,第二次處置,2021-07-28,2021-08-10
2021-07-30,034683,長榮第一15購01,4,連續三次,第二次處置,2021-08-02,2021-08-13
2021-08-04,034683,長榮第一15購01,4,連續三次,第二次處置,2021-08-05,2021-08-18
2021-08-02,034757,長榮統一0B購10,1,連續三次,第一次處置,2021-08-03,2021-08-16
2021-07-06,034763,長榮統一11購07,3,連續三次,第一次處置,2021-07-07,2021-07-20
2021-07-30,034763,長榮統一11購07,3,連續三次,第二次處置,2021-08-02,2021-08-13
2021-08-04,034763,長榮統一11購07,3,連續三次,第二次處置,2021-08-05,2021-08-18
2021-07-30,034772,長榮國票0C購05,1,連續三次,第一次處置,2021-08-02,2021-08-13
2021-08-12,035141,長榮統一0B購12,1,連續三次,第一次處置,2021-08-13,2021-08-26
2021-07-28,035143,長榮統一0C購16,1,連續三次,第一次處置,2021-07-29,2021-08-11
2021-10-19,035144,長榮統一0C購17,1,連續三次,第一次處置,2021-10-20,2021-11-02
2021-07-06,035145,長榮統一0C購18,4,連續三次,第一次處置,2021-07-07,2021-07-20
2021-07-27,035145,長榮統一0C購18,4,連續三次,第二次處置,2021-07-28,2021-08-10
2021-07-30,035145,長榮統一0C購18,4,連續三次,第二次處置,2021-08-02,2021-08-13
2021-08-04,035145,長榮統一0C購18,4,連續三次,第二次處置,2021-08-05,2021-08-18
2021-07-07,035354,萬海中信13購01,1,連續三次,第一次處置,2021-07-08,2021-07-21
2025-05-22,036269,長榮凱基45購04,1,連續三次,第一次處置,2025-05-23,2025-06-06
2020-03-25,03720P,元油2X富邦95售01,1,連續三次,第一次處置,2020-03-26,2020-04-10
2018-11-05,03775P,康友凱基83售03,1,連續三次,第一次處置,2018-11-06,2018-11-19
2020-03-25,03892P,元油2X中信95售01,1,連續三次,第一次處置,2020-03-26,2020-04-10
2016-03-29,038992,富邦AL,1,連續三次,第一次處置,2016-03-30,2016-04-14
2016-04-08,039584,3C兆豐,1,連續三次,第一次處置,2016-04-11,2016-04-22
2018-11-02,04002P,康友國票84售02,2,連續三次,第一次處置,2018-11-05,2018-11-16
2018-11-07,04002P,康友國票84售02,2,連續三次,第二次處置,2018-11-08,2018-11-21
2018-11-05,04013P,康友元大84售06,1,連續三次,第一次處置,2018-11-06,2018-11-19
2018-11-01,04026P,康友群益84售03,2,連續三次,第一次處置,2018-11-02,2018-11-15
2018-11-06,04026P,康友群益84售03,2,連續三次,第二次處置,2018-11-07,2018-11-20
2023-07-20,040282,智原凱基2A購04,1,連續三次,第一次處置,2023-07-21,2023-08-03
2018-11-02,04075P,康友凱基84售03,1,連續三次,第一次處置,2018-11-05,2018-11-16
2022-02-21,045210,大榮永豐13購02,2,連續三次,第一次處置,2022-02-22,2022-03-08
2022-02-24,045210,大榮永豐13購02,2,連續三次,第二次處置,2022-02-25,2022-03-11
2022-01-26,046272,宏達電統一15購02,1,連續三次,第一次處置,2022-02-07,2022-02-18
2022-03-10,046626,泰鼎永豐13購04,1,連續三次,第一次處置,2022-03-11,2022-03-24
2020-06-09,047014,元油反元大99購01,2,連續三次,第一次處置,2020-06-10,2020-06-23
2020-06-12,047014,元油反元大99購01,2,連續三次,第二次處置,2020-06-15,2020-06-30
2022-04-18,047770,光磊群益15購01,1,連續三次,第一次處置,2022-04-19,2022-05-03
2021-11-29,047934,光磊凱基16購01,4,連續三次,第一次處置,2021-11-30,2021-12-13
2021-12-02,047934,光磊凱基16購01,4,連續三次,第二次處置,2021-12-03,2021-12-16
2021-12-07,047934,光磊凱基16購01,4,連續三次,第二次處置,2021-12-08,2021-12-21
2021-12-10,047934,光磊凱基16購01,4,連續三次,第二次處置,2021-12-13,2021-12-24
2020-07-17,047978,元油反群益97購01,1,連續三次,第一次處置,2020-07-20,2020-07-31
2020-03-25,04924P,元油2X元大94售12,1,連續三次,第一次處置,2020-03-26,2020-04-10
2022-03-14,049291,光磊永豐14購02,1,連續三次,第一次處置,2022-03-15,2022-03-28
2020-03-24,04944P,元油2X永豐94售06,1,連續三次,第一次處置,2020-03-25,2020-04-09
2021-11-29,049808,光磊凱基15購02,1,連續三次,第一次處置,2021-11-30,2021-12-13
2026-05-27,050328,華固凱基56購01,1,最近十個營業日已有六次,第一次處置,2026-05-28,2026-06-10
2026-04-14,050503,緯穎中信5A購05,2,連續三次,第一次處置,2026-04-15,2026-04-28
2026-04-17,050503,緯穎中信5A購05,1,連續三次,第二次處置,2026-04-20,2026-05-04
2026-06-01,050503,緯穎中信5A購05,1,連續三次,第一次處置,2026-06-02,2026-06-15
2022-04-18,050550,台勝科永豐15購01,1,連續三次,第一次處置,2022-04-19,2022-05-03
2023-09-28,050964,技嘉元大35購01,1,連續三次,第一次處置,2023-10-02,2023-10-17
2020-04-29,051211,道瓊反統一95購01,1,連續三次,第一次處置,2020-04-30,2020-05-14
2021-12-02,051551,嘉晶元大15購05,2,連續三次,第一次處置,2021-12-03,2021-12-16
2021-12-17,051551,嘉晶元大15購05,2,連續三次,第二次處置,2021-12-20,2022-01-03
2026-04-17,052108,一詮富邦5A購01,1,連續三次,第一次處置,2026-04-20,2026-05-04
2020-07-21,052421,元油反國票9B購01,2,連續三次,第一次處置,2020-07-22,2020-08-04
2020-07-24,052421,元油反國票9B購01,2,連續三次,第二次處置,2020-07-27,2020-08-07
2020-05-26,052486,元油反國票96購01,2,連續三次,第一次處置,2020-05-27,2020-06-09
2020-05-29,052486,元油反國票96購01,2,連續三次,第二次處置,2020-06-01,2020-06-12
2026-07-14,052974,今國光統一5C購02,1,連續三次,第一次處置,2026-07-15,2026-07-28
2015-11-10,05297P,FP富邦,1,連續三次,第一次處置,2015-11-11,2015-11-24
2020-05-26,053241,元油反國票9A購01,2,連續三次,第一次處置,2020-05-27,2020-06-09
2020-05-29,053241,元油反國票9A購01,2,連續三次,第二次處置,2020-06-01,2020-06-12
2020-06-10,053290,元油反中信97購01,2,連續三次,第一次處置,2020-06-11,2020-06-24
2020-06-15,053290,元油反中信97購01,2,連續三次,第二次處置,2020-06-16,2020-07-01
2020-05-26,053336,元油反國票9B購02,2,連續三次,第一次處置,2020-05-27,2020-06-09
2020-05-29,053336,元油反國票9B購02,2,連續三次,第二次處置,2020-06-01,2020-06-12
2020-06-10,053393,元油反中信98購01,2,連續三次,第一次處置,2020-06-11,2020-06-24
2020-06-15,053393,元油反中信98購01,2,連續三次,第二次處置,2020-06-16,2020-07-01
2020-07-17,053508,元油反群益9A購01,2,連續三次,第一次處置,2020-07-20,2020-07-31
2020-07-22,053508,元油反群益9A購01,2,連續三次,第二次處置,2020-07-23,2020-08-05
2020-07-20,053613,元油反群益9A購02,2,連續三次,第一次處置,2020-07-21,2020-08-03
