date,Foreign_Investor_Buy,Foreign_Investor_Sell,Foreign_Investor_Overbuy,Investment_Trust_Buy,Investment_Trust_Sell,Investment_Trust_Overbuy,Dealer_self_Buy,Dealer_self_Sell,Dealer_self_Overbuy,Total_Overbuy,cb_id,cb_name
2016-06-15,0,0,0,0,0,0,81,69,12,12,62452,立端二
2016-06-16,0,0,0,0,0,0,27,25,2,2,62452,立端二
2016-06-24,0,0,0,0,0,0,1,0,1,1,62452,立端二
2016-06-27,0,0,0,0,0,0,15,0,15,15,62452,立端二
2016-06-28,0,0,0,0,0,0,1,0,1,1,62452,立端二
2016-07-01,0,0,0,0,0,0,10,6,4,4,62452,立端二
2016-07-04,0,0,0,0,0,0,9,12,-3,-3,62452,立端二
2016-07-05,0,0,0,0,0,0,13,38,-25,-25,62452,立端二
2016-07-06,0,0,0,0,0,0,1,15,-14,-14,62452,立端二
2016-07-07,0,0,0,0,0,0,3,0,3,3,62452,立端二
2016-07-11,0,0,0,0,0,0,46,11,35,35,62452,立端二
2016-07-12,0,0,0,0,0,0,20,42,-22,-22,62452,立端二
2016-07-14,0,0,0,0,0,0,0,10,-10,-10,62452,立端二
2016-07-19,0,0,0,0,0,0,0,20,-20,-20,62452,立端二
2016-07-21,0,0,0,0,0,0,0,13,-13,-13,62452,立端二
2016-07-26,34,0,34,0,0,0,0,32,-32,2,62452,立端二
2016-07-27,35,0,35,0,0,0,10,40,-30,5,62452,立端二
2016-08-12,0,0,0,0,0,0,30,20,10,10,62452,立端二
2016-08-17,0,0,0,0,0,0,25,20,5,5,62452,立端二
2016-08-18,0,0,0,0,0,0,10,10,0,0,62452,立端二
2016-08-24,0,0,0,0,0,0,10,10,0,0,62452,立端二
2016-08-25,0,0,0,0,0,0,17,67,-50,-50,62452,立端二
2016-08-26,0,0,0,0,0,0,5,4,1,1,62452,立端二
2016-08-30,0,0,0,0,0,0,0,10,-10,-10,62452,立端二
2016-09-05,0,0,0,0,0,0,0,42,-42,-42,62452,立端二
2016-09-06,0,0,0,0,0,0,0,8,-8,-8,62452,立端二
2016-09-07,0,0,0,0,0,0,0,35,-35,-35,62452,立端二
2016-09-09,0,0,0,0,0,0,0,3,-3,-3,62452,立端二
2016-09-13,0,0,0,0,0,0,0,46,-46,-46,62452,立端二
2016-09-14,0,0,0,0,0,0,0,10,-10,-10,62452,立端二
2016-09-19,0,0,0,0,0,0,0,59,-59,-59,62452,立端二
2016-09-20,0,0,0,0,0,0,0,41,-41,-41,62452,立端二
2016-09-21,0,0,0,0,0,0,0,1,-1,-1,62452,立端二
2016-09-22,0,0,0,0,0,0,0,7,-7,-7,62452,立端二
2016-09-23,0,0,0,0,0,0,0,21,-21,-21,62452,立端二
2016-09-29,0,0,0,0,0,0,0,12,-12,-12,62452,立端二
2016-09-30,0,0,0,0,0,0,0,20,-20,-20,62452,立端二
2016-10-03,0,0,0,0,0,0,0,10,-10,-10,62452,立端二
2016-10-04,0,0,0,0,0,0,0,9,-9,-9,62452,立端二
2016-10-12,0,0,0,0,0,0,1,0,1,1,62452,立端二
2016-10-13,0,0,0,0,0,0,0,1,-1,-1,62452,立端二
