date,level,people,holding_shares,percent
2026-06-05,"5,001-10,000",35784,246230698,1.76
2026-06-05,"50,001-100,000",5955,409414111,2.94
2026-06-05,"600,001-800,000",133,89320152,0.64
2026-06-05,"800,001-1,000,000",109,97151568,0.69
2026-06-05,"more than 1,000,001",559,10938508797,78.59
2026-06-05,total,486375,13916965089,100.0
2026-06-05,差異數調整（說明4）,1,-70000,0.0
2026-06-12,"1,000-5,000",166408,330058842,2.37
2026-06-12,1-999,228118,21972357,0.15
2026-06-12,"10,001-15,000",18427,220014906,1.58
2026-06-12,"100,001-200,000",3113,420192556,3.01
2026-06-12,"15,001-20,000",8395,145219955,1.04
2026-06-12,"20,001-30,000",9362,225113481,1.61
2026-06-12,"200,001-400,000",1172,317097275,2.27
2026-06-12,"30,001-40,000",4991,171474721,1.23
2026-06-12,"40,001-50,000",2810,125254686,0.9
2026-06-12,"400,001-600,000",332,160336341,1.15
2026-06-12,"5,001-10,000",35790,246267094,1.76
2026-06-12,"50,001-100,000",5968,410235219,2.94
2026-06-12,"600,001-800,000",137,92215337,0.66
2026-06-12,"800,001-1,000,000",108,96484090,0.69
2026-06-12,"more than 1,000,001",556,10935028229,78.57
2026-06-12,total,485687,13916965089,100.0
2026-06-12,差異數調整（說明4）,0,0,0.0
2026-06-18,"1,000-5,000",164351,326261498,2.34
2026-06-18,1-999,227088,21876510,0.15
2026-06-18,"10,001-15,000",18349,219100267,1.57
2026-06-18,"100,001-200,000",3087,416152425,2.99
2026-06-18,"15,001-20,000",8315,143802755,1.03
2026-06-18,"20,001-30,000",9325,224220614,1.61
2026-06-18,"200,001-400,000",1170,316584918,2.27
2026-06-18,"30,001-40,000",4940,169681633,1.21
2026-06-18,"40,001-50,000",2780,123941020,0.89
2026-06-18,"400,001-600,000",326,157409295,1.13
2026-06-18,"5,001-10,000",35429,243570078,1.75
2026-06-18,"50,001-100,000",5942,408715766,2.93
2026-06-18,"600,001-800,000",140,94120584,0.67
2026-06-18,"800,001-1,000,000",104,93016688,0.66
2026-06-18,"more than 1,000,001",565,10958511038,78.74
2026-06-18,total,481911,13916965089,100.0
2026-06-18,差異數調整（說明4）,0,0,0.0
2026-06-26,"1,000-5,000",164449,326564747,2.34
2026-06-26,1-999,226112,21842875,0.15
2026-06-26,"10,001-15,000",18270,218161281,1.56
2026-06-26,"100,001-200,000",3061,412685748,2.96
2026-06-26,"15,001-20,000",8292,143466524,1.03
2026-06-26,"20,001-30,000",9298,223640368,1.6
2026-06-26,"200,001-400,000",1162,313931227,2.25
2026-06-26,"30,001-40,000",4944,169860862,1.22
2026-06-26,"40,001-50,000",2774,123618153,0.88
2026-06-26,"400,001-600,000",331,160160502,1.15
2026-06-26,"5,001-10,000",35370,243228874,1.74
2026-06-26,"50,001-100,000",5928,407743848,2.92
2026-06-26,"600,001-800,000",136,91410107,0.65
2026-06-26,"800,001-1,000,000",104,93033037,0.66
2026-06-26,"more than 1,000,001",564,10967616936,78.8
2026-06-26,total,480795,13916965089,100.0
2026-06-26,差異數調整（說明4）,0,0,0.0
2026-07-03,"1,000-5,000",164164,326019027,2.34
2026-07-03,1-999,225396,21804712,0.15
2026-07-03,"10,001-15,000",18254,217955323,1.56
2026-07-03,"100,001-200,000",3061,412218427,2.96
2026-07-03,"15,001-20,000",8276,143198675,1.02
2026-07-03,"20,001-30,000",9290,223347203,1.6
2026-07-03,"200,001-400,000",1158,312858796,2.24
2026-07-03,"30,001-40,000",4914,168881933,1.21
2026-07-03,"40,001-50,000",2756,122792917,0.88
2026-07-03,"400,001-600,000",325,156998539,1.12
2026-07-03,"5,001-10,000",35348,243117531,1.74
2026-07-03,"50,001-100,000",5907,406439977,2.92
2026-07-03,"600,001-800,000",142,95219172,0.68
2026-07-03,"800,001-1,000,000",99,88293001,0.63
2026-07-03,"more than 1,000,001",560,10977819856,78.88
2026-07-03,total,479650,13916965089,100.0
2026-07-03,差異數調整（說明4）,0,0,0.0
2026-07-09,"1,000-5,000",161998,321591599,2.31
2026-07-09,1-999,224778,21714694,0.15
2026-07-09,"10,001-15,000",18126,216337460,1.55
2026-07-09,"100,001-200,000",3059,412570241,2.96
2026-07-09,"15,001-20,000",8201,141866367,1.01
2026-07-09,"20,001-30,000",9238,221970981,1.59
2026-07-09,"200,001-400,000",1154,312340613,2.24
2026-07-09,"30,001-40,000",4859,166920433,1.19
2026-07-09,"40,001-50,000",2760,122958028,0.88
2026-07-09,"400,001-600,000",321,154940225,1.11
2026-07-09,"5,001-10,000",34991,240427455,1.72
2026-07-09,"50,001-100,000",5850,402675129,2.89
2026-07-09,"600,001-800,000",141,94542906,0.67
2026-07-09,"800,001-1,000,000",102,90866894,0.65
2026-07-09,"more than 1,000,001",563,10995242064,79.0
2026-07-09,total,476141,13916965089,100.0
2026-07-09,差異數調整（說明4）,0,0,0.0
