date,TotalExchangeMarginMaintenance
2016-12-07,166.397
2016-12-08,167.186
2016-12-09,167.82
2016-12-12,166.792
2016-12-13,167.259
2016-12-14,167.321
2016-12-15,167.509
2016-12-16,167.215
2016-12-19,165.449
2016-12-20,165.776
2016-12-21,166.107
2016-12-22,164.657
2016-12-23,164.085
2016-12-26,164.287
2016-12-27,163.65
2016-12-28,165.501
2016-12-29,165.385
2016-12-30,166.295
2017-01-03,166.986
2017-01-04,167.529
2017-01-05,168.695
2017-01-06,169.066
2017-01-09,168.038
2017-01-10,168.464
2017-01-11,168.438
2017-01-12,168.806
2017-01-13,168.581
2017-01-16,167.812
2017-01-17,168.887
2017-01-18,169.852
2017-01-19,169.666
2017-01-20,169.84
2017-01-23,170.866
2017-01-24,171.006
2017-02-02,173.134
2017-02-03,173.63
2017-02-06,174.779
2017-02-07,173.898
2017-02-08,174.649
2017-02-09,176.181
2017-02-10,175.482
2017-02-13,175.521
2017-02-14,174.661
2017-02-15,176.163
2017-02-16,175.587
2017-02-17,176.114
2017-02-20,174.854
2017-02-21,175.099
2017-02-22,175.95
2017-02-23,175.071
2017-02-24,175.197
2017-03-01,173.593
2017-03-02,173.816
2017-03-03,172.566
2017-03-06,173.552
2017-03-07,174.084
2017-03-08,174.302
2017-03-09,172.74
2017-03-10,172.113
2017-03-13,172.842
2017-03-14,173.835
2017-03-15,173.64
2017-03-16,174.174
2017-03-17,175.702
2017-03-20,175.74
2017-03-21,175.638
2017-03-22,175.515
2017-03-23,175.622
2017-03-24,174.969
2017-03-27,173.052
2017-03-28,172.057
2017-03-29,173.267
2017-03-30,173.826
2017-03-31,173.679
2017-04-05,174.371
2017-04-06,173.663
2017-04-07,174.019
2017-04-10,174.094
2017-04-11,171.449
2017-04-12,171.318
2017-04-13,171.169
2017-04-14,168.407
2017-04-17,167.667
2017-04-18,169.612
2017-04-19,167.984
2017-04-20,167.536
2017-04-21,168.832
2017-04-24,168.138
2017-04-25,170.332
2017-04-26,171.706
2017-04-27,171.851
2017-04-28,171.318
2017-05-02,172.165
2017-05-03,170.971
2017-05-04,171.732
2017-05-05,170.124
2017-05-08,168.607
2017-05-09,167.389
2017-05-10,169.681
2017-05-11,169.22
2017-05-12,169.385
2017-05-15,170.792
2017-05-16,169.975
2017-05-17,170.118
2017-05-18,170.527
2017-05-19,170.787
2017-05-22,171.025
2017-05-23,171.415
2017-05-24,172.176
2017-05-25,172.949
2017-05-26,172.257
2017-05-31,171.367
2017-06-01,172.458
2017-06-02,173.597
2017-06-05,175.272
2017-06-06,175.508
2017-06-07,175.125
2017-06-08,175.214
2017-06-09,174.769
2017-06-12,174.134
2017-06-13,173.792
2017-06-14,171.475
2017-06-15,171.828
2017-06-16,173.385
2017-06-19,174.531
2017-06-20,174.161
2017-06-21,175.424
2017-06-22,176.046
2017-06-23,175.401
2017-06-26,176.913
2017-06-27,176.815
2017-06-28,175.899
2017-06-29,175.425
2017-06-30,175.462
2017-07-03,174.8
2017-07-04,174.156
2017-07-05,174.633
2017-07-06,175.052
2017-07-07,173.732
2017-07-10,172.868
2017-07-11,173.458
2017-07-12,174.87
2017-07-13,174.325
2017-07-14,175.137
2017-07-17,175.043
2017-07-18,176.116
2017-07-19,176.158
2017-07-20,175.773
2017-07-21,175.173
2017-07-24,175.382
2017-07-25,176.51
2017-07-26,175.874
2017-07-27,176.6
2017-07-28,175.504
2017-07-31,175.919
2017-08-01,176.646
2017-08-02,177.185
2017-08-03,176.288
2017-08-04,177.298
2017-08-07,178.639
2017-08-08,176.533
2017-08-09,175.054
2017-08-10,171.078
2017-08-11,172.356
2017-08-14,168.63
2017-08-15,170.526
2017-08-16,171.653
2017-08-17,174.037
2017-08-18,173.691
2017-08-21,174.448
2017-08-22,175.906
2017-08-23,176.502
2017-08-24,177.632
2017-08-25,177.933
2017-08-28,179.375
2017-08-29,178.543
2017-08-30,179.22
2017-08-31,179.336
2017-09-01,180.559
2017-09-04,179.256
2017-09-05,181.066
2017-09-06,180.148
2017-09-07,177.489
2017-09-08,179.242
2017-09-11,177.728
2017-09-12,176.871
2017-09-13,175.666
2017-09-14,176.342
2017-09-15,176.41
2017-09-18,176.877
2017-09-19,174.913
2017-09-20,173.74
2017-09-21,173.881
2017-09-22,172.711
2017-09-25,169.698
2017-09-26,167.771
2017-09-27,170.133
2017-09-28,170.394
2017-09-29,169.697
2017-10-02,173.382
2017-10-03,173.626
2017-10-05,174.981
2017-10-06,174.644
2017-10-11,173.595
2017-10-12,174.649
2017-10-13,175.084
2017-10-16,174.739
2017-10-17,173.716
2017-10-18,173.066
2017-10-19,174.283
2017-10-20,174.023
2017-10-23,174.181
2017-10-24,175.183
2017-10-25,174.39
2017-10-26,175.211
2017-10-27,171.712
2017-10-30,172.181
2017-10-31,173.761
2017-11-01,174.448
2017-11-02,173.848
2017-11-03,173.848
2017-11-06,173.886
2017-11-07,173.843
2017-11-08,173.937
2017-11-09,170.643
2017-11-10,171.13
2017-11-13,168.708
2017-11-14,169.197
2017-11-15,169.042
2017-11-16,169.199
2017-11-17,170.529
2017-11-20,170.014
2017-11-21,172.093
2017-11-22,172.623
2017-11-23,173.282
2017-11-24,173.299
2017-11-27,172.191
2017-11-28,171.785
2017-11-29,172.034
2017-11-30,170.805
2017-12-01,168.867
2017-12-04,169.322
2017-12-05,167.451
2017-12-06,164.141
2017-12-07,162.991
2017-12-08,164.628
2017-12-11,167.844
2017-12-12,166.636
2017-12-13,167.127
2017-12-14,167.277
2017-12-15,166.457
2017-12-18,166.5
2017-12-19,166.15
2017-12-20,167.617
2017-12-21,167.667
2017-12-22,167.446
2017-12-25,167.26
2017-12-26,164.72
2017-12-27,165.771
2017-12-28,167.618
2017-12-29,167.843
2018-01-02,169.575
2018-01-03,169.963
2018-01-04,171.961
2018-01-05,172.159
2018-01-08,171.212
2018-01-09,170.408
2018-01-10,168.684
2018-01-11,169.358
2018-01-12,171.223
2018-01-15,172.189
2018-01-16,173.586
2018-01-17,173.289
2018-01-18,172.38
2018-01-19,172.326
2018-01-22,173.529
2018-01-23,172.629
2018-01-24,173.307
2018-01-25,171.593
2018-01-26,172.237
2018-01-29,172.821
2018-01-30,170.721
2018-01-31,171.315
2018-02-01,171.18
2018-02-02,170.74
2018-02-05,167.959
2018-02-06,158.709
2018-02-07,161.4
2018-02-08,159.68
2018-02-09,157.833
2018-02-12,158.585
2018-02-21,165.167
2018-02-22,166.011
2018-02-23,167.375
2018-02-26,167.669
2018-02-27,167.575
2018-03-01,168.165
2018-03-02,166.95
2018-03-05,165.322
2018-03-06,166.517
2018-03-07,166.122
2018-03-08,167.783
2018-03-09,168.078
2018-03-12,168.853
2018-03-13,170.071
2018-03-14,169.417
2018-03-15,170.317
2018-03-16,169.707
2018-03-19,169.845
2018-03-20,169.489
2018-03-21,170.518
2018-03-22,167.987
2018-03-23,165.119
2018-03-26,165.683
2018-03-27,167.641
2018-03-28,165.843
2018-03-29,165.831
2018-03-30,166.219
2018-04-02,167.201
2018-04-03,166.356
2018-04-09,166.702
2018-04-10,166.491
2018-04-11,167.559
2018-04-12,167.823
2018-04-13,168.469
2018-04-16,168.085
2018-04-17,164.988
2018-04-18,165.452
2018-04-19,167.268
2018-04-20,165.381
2018-04-23,164.007
2018-04-24,159.874
2018-04-25,161.731
2018-04-26,158.325
2018-04-27,157.818
2018-04-30,162.674
2018-05-02,162.157
2018-05-03,161.033
2018-05-04,161.118
2018-05-07,163.116
2018-05-08,164.011
2018-05-09,164.442
2018-05-10,165.933
2018-05-11,166.185
2018-05-14,168.19
2018-05-15,167.652
2018-05-16,167.365
2018-05-17,166.335
2018-05-18,166.497
2018-05-21,169.608
2018-05-22,165.004
2018-05-23,168.059
2018-05-24,169.575
2018-05-25,169.961
2018-05-28,171.823
2018-05-29,171.046
2018-05-30,169.925
2018-05-31,169.352
2018-06-01,171.182
2018-06-04,173.868
2018-06-05,173.491
2018-06-06,176.231
2018-06-07,177.127
2018-06-08,175.2
2018-06-11,176.169
2018-06-12,175.966
2018-06-13,175.18
2018-06-14,173.768
2018-06-15,174.7
2018-06-19,171.397
2018-06-20,166.998
2018-06-21,169.625
2018-06-22,167.172
2018-06-25,166.212
2018-06-26,166.466
2018-06-27,165.473
2018-06-28,164.925
2018-06-29,166.91
2018-07-02,167.643
2018-07-03,164.614
2018-07-04,165.172
2018-07-05,161.793
2018-07-06,162.952
2018-07-09,163.155
2018-07-10,165.022
2018-07-11,163.507
2018-07-12,166.247
2018-07-13,168.034
2018-07-16,166.845
2018-07-17,165.675
2018-07-18,165.096
2018-07-19,165.507
2018-07-20,164.098
2018-07-23,163.663
2018-07-24,165.886
2018-07-25,166.497
2018-07-26,166.741
2018-07-27,168.194
2018-07-30,165.183
2018-07-31,165.484
2018-08-01,166.319
2018-08-02,162.652
2018-08-03,163.974
2018-08-06,164.437
2018-08-07,164.692
2018-08-08,164.321
2018-08-09,164.042
2018-08-10,162.027
2018-08-13,157.182
2018-08-14,159.184
2018-08-15,156.84
2018-08-16,158.102
2018-08-17,157.01
2018-08-20,157.052
2018-08-21,159.446
2018-08-22,159.075
2018-08-23,158.525
2018-08-24,158.301
2018-08-27,161.62
2018-08-28,162.227
2018-08-29,163.381
2018-08-30,162.693
2018-08-31,163.27
2018-09-03,159.481
2018-09-04,160.608
2018-09-05,159.93
2018-09-06,158.441
2018-09-07,155.113
2018-09-10,151.702
2018-09-11,153.74
2018-09-12,152.573
2018-09-13,153.035
2018-09-14,156.958
2018-09-17,156.808
2018-09-18,154.642
2018-09-19,155.928
2018-09-20,154.858
2018-09-21,157.394
2018-09-25,158.558
2018-09-26,158.92
2018-09-27,158.045
2018-09-28,158.171
2018-10-01,159.117
2018-10-02,157.501
2018-10-03,156.65
2018-10-04,155.568
2018-10-05,152.023
2018-10-08,152.319
2018-10-09,151.658
2018-10-11,144.11
2018-10-12,148.838
2018-10-15,149.318
2018-10-16,150.486
2018-10-17,151.014
2018-10-18,150.081
2018-10-19,150.512
2018-10-22,152.539
2018-10-23,148.483
2018-10-24,148.011
2018-10-25,144.073
2018-10-26,143.517
2018-10-29,143.215
2018-10-30,143.408
2018-10-31,147.699
2018-11-01,150.839
2018-11-02,152.516
2018-11-05,152.136
2018-11-06,149.359
2018-11-07,152.721
2018-11-08,152.854
2018-11-09,152.318
2018-11-12,151.435
2018-11-13,151.848
2018-11-14,152.285
2018-11-15,153.291
2018-11-16,153.854
2018-11-19,155.49
2018-11-20,154.344
2018-11-21,155.368
2018-11-22,153.497
2018-11-23,151.453
2018-11-26,154.342
2018-11-27,155.223
2018-11-28,157.563
2018-11-29,158.201
2018-11-30,158.787
2018-12-03,165.119
2018-12-04,163.341
2018-12-05,160.785
2018-12-06,155.078
2018-12-07,156.29
2018-12-10,153.769
2018-12-11,154.608
2018-12-12,157.899
2018-12-13,157.883
2018-12-14,156.471
2018-12-17,156.367
2018-12-18,154.782
2018-12-19,154.548
2018-12-20,151.887
2018-12-21,151.681
2018-12-24,152.55
2018-12-25,151.182
2018-12-26,149.665
2018-12-27,151.908
2018-12-28,152.407
2019-01-02,151.402
2019-01-03,150.025
2019-01-04,148.695
2019-01-07,151.908
2019-01-08,152.759
2019-01-09,154.569
2019-01-10,155.042
2019-01-11,155.026
2019-01-14,154.356
2019-01-15,156.519
2019-01-16,157.059
2019-01-17,156.421
2019-01-18,157.979
2019-01-21,158.061
2019-01-22,157.094
2019-01-23,157.633
2019-01-24,158.297
2019-01-25,159.401
2019-01-28,160.488
2019-01-29,159.355
2019-01-30,159.934
2019-02-11,161.653
2019-02-12,163.242
2019-02-13,165.479
2019-02-14,165.755
2019-02-15,164.046
2019-02-18,165.879
2019-02-19,166.667
2019-02-20,167.871
2019-02-21,168.857
2019-02-22,167.956
2019-02-25,170.214
2019-02-26,168.905
2019-02-27,168.439
2019-03-04,169.822
2019-03-05,168.646
2019-03-06,169.307
2019-03-07,166.715
2019-03-08,166.35
2019-03-11,167.038
2019-03-12,168.036
2019-03-13,168.148
2019-03-14,168.521
2019-03-15,169.397
2019-03-18,170.675
2019-03-19,170.832
2019-03-20,171.351
2019-03-21,171.81
2019-03-22,170.48
2019-03-25,167.802
2019-03-26,168.341
2019-03-27,166.476
2019-03-28,168.559
2019-03-29,170.383
2019-04-01,170.877
2019-04-02,171.387
2019-04-03,172.5
2019-04-08,173.341
2019-04-09,174.478
2019-04-10,175.071
2019-04-11,173.049
2019-04-12,171.422
2019-04-15,173.317
2019-04-16,174.147
2019-04-17,174.872
2019-04-18,172.126
2019-04-19,173.106
2019-04-22,173.106
2019-04-23,172.486
2019-04-24,171.757
2019-04-25,171.819
2019-04-26,169.411
2019-04-29,166.856
2019-04-30,168.349
2019-05-02,169.119
2019-05-03,170.38
2019-05-06,165.614
2019-05-07,166.871
2019-05-08,166.092
2019-05-09,161.866
2019-05-10,161.498
2019-05-13,157.984
2019-05-14,159.441
2019-05-15,161.294
2019-05-16,159.115
2019-05-17,156.966
2019-05-20,156.594
2019-05-21,159.095
2019-05-22,158.303
2019-05-23,155.762
2019-05-24,156.125
2019-05-27,156.233
2019-05-28,157.157
2019-05-29,157.419
2019-05-30,158.624
2019-05-31,160.514
2019-06-03,159.532
2019-06-04,158.898
2019-06-05,159.455
2019-06-06,157.626
2019-06-10,160.636
2019-06-11,162.009
2019-06-12,162.244
2019-06-13,162.034
2019-06-14,162.102
2019-06-17,162.782
2019-06-18,162.148
2019-06-19,165.303
2019-06-20,167.136
2019-06-21,166.22
2019-06-24,167.034
2019-06-25,165.183
2019-06-26,165.648
2019-06-27,166.919
2019-06-28,166.196
2019-07-01,169.877
2019-07-02,170.32
2019-07-03,168.858
2019-07-04,169.662
2019-07-05,170.211
2019-07-08,169.396
2019-07-09,168.039
2019-07-10,169.618
2019-07-11,169.905
2019-07-12,169.983
2019-07-15,170.519
2019-07-16,170.815
2019-07-17,170.299
2019-07-18,168.63
2019-07-19,169.675
2019-07-22,170.172
2019-07-23,170.235
2019-07-24,170.963
2019-07-25,171.466
2019-07-26,171.631
2019-07-29,171.39
2019-07-30,167.301
2019-07-31,169.555
2019-08-01,168.968
2019-08-02,164.817
2019-08-05,162.816
2019-08-06,162.985
2019-08-07,162.234
2019-08-08,164.597
2019-08-12,165.842
2019-08-13,164.426
2019-08-14,165.217
2019-08-15,163.729
2019-08-16,165.426
2019-08-19,167.07
2019-08-20,166.966
2019-08-21,167.631
2019-08-22,167.383
2019-08-23,167.671
2019-08-26,163.79
2019-08-27,164.858
2019-08-28,165.784
2019-08-29,166.137
2019-08-30,167.882
2019-09-02,169.799
2019-09-03,168.741
2019-09-04,170.334
2019-09-05,170.986
