futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount
TX,2025-05-15,自營商,5335,23199735,4945,21490318,4779,20644226,8106,35089552
MTX,2025-05-16,外資,70601,76741440,71011,77186708,10465,11400041,3128,3412533
MTX,2025-05-16,投信,15,16368,18,19525,148,160992,18,19530
MTX,2025-05-16,自營商,7166,7773147,6680,7250671,10448,11359912,6410,6931343
TX,2025-05-16,外資,50540,219863769,50548,219812366,20970,91367562,58177,253474781
TX,2025-05-16,投信,4724,20493332,4730,20637511,52834,230464222,9784,42700122
TX,2025-05-16,自營商,6446,28041192,6288,27357105,4644,20173616,7808,33987119
MTX,2025-05-19,外資,78520,85215192,83845,91004305,8456,9091742,6780,7291959
MTX,2025-05-19,投信,0,0,1,1072,148,158972,19,20365
MTX,2025-05-19,自營商,9703,10492185,10781,11644121,9184,9860468,6390,6818994
TX,2025-05-19,外資,87647,379210048,88069,380698341,23408,100526568,61121,262335289
TX,2025-05-19,投信,30006,129059769,30597,132021728,52569,225823923,10110,43446351
TX,2025-05-19,自營商,10776,46588988,10401,44922765,4797,20571757,7617,32707741
MTX,2025-05-20,外資,77684,83902992,77555,83781752,6906,7426881,4997,5375743
MTX,2025-05-20,投信,69,74048,65,70018,152,163105,19,20386
MTX,2025-05-20,自營商,9291,10021006,9869,10640219,8244,8856857,5976,6377608
TX,2025-05-20,外資,79159,341645533,79310,342087307,31993,137474771,69837,299740627
TX,2025-05-20,投信,26936,115816173,26187,112887599,53323,228860942,10115,43411792
TX,2025-05-20,自營商,10032,43311901,9978,43048249,4254,18235171,7068,30340446
MTX,2025-05-21,外資,71251,77016796,65923,71276497,7344,7958635,466,505135
MTX,2025-05-21,投信,7,7565,4,4328,154,166959,18,19515
MTX,2025-05-21,自營商,11493,12417639,10647,11500978,2348,2529018,4994,5384076
TX,2025-05-21,外資,50667,219149915,48364,209209382,21562,93452316,60408,261816238
TX,2025-05-21,投信,2385,10334914,1507,6535572,55130,239076758,11031,47837035
TX,2025-05-21,自營商,10978,47528281,12411,53746243,2812,12147623,4283,18519036
MTX,2025-05-22,外資,75711,81498429,82591,88917043,4905,5267105,5392,5791899
MTX,2025-05-22,投信,4,4292,0,0,158,169842,18,19349
MTX,2025-05-22,自營商,5475,5890798,5832,6259391,2678,2865953,5780,6176362
TX,2025-05-22,外資,44974,193645684,46640,200838111,22266,95681198,62922,270391278
TX,2025-05-22,投信,419,1801494,1396,5999806,54661,235031368,11539,49615392
TX,2025-05-22,自營商,5885,25309848,5360,23042708,3741,16039447,4706,20176397
MTX,2025-05-23,外資,82416,88488007,81765,87794086,4281,4588955,3908,4191660
MTX,2025-05-23,投信,0,0,2,2147,158,169581,20,21466
MTX,2025-05-23,自營商,5337,5724068,5827,6242135,2798,2991037,6350,6775722
TX,2025-05-23,外資,44531,191311497,44044,189241009,21597,92661534,61714,264787001
TX,2025-05-23,投信,68,291989,963,4126439,53893,231373428,11666,50084471
TX,2025-05-23,自營商,5671,24350925,5354,22992054,4111,17600436,4769,20412533
MTX,2025-05-26,外資,114127,121612395,116156,123767403,4352,4645771,5857,6254257
MTX,2025-05-26,投信,0,0,2,2138,158,168910,22,23519
MTX,2025-05-26,自營商,9612,10245730,9497,10121779,2950,3143288,6890,7324304
TX,2025-05-26,外資,62662,267277431,64276,274246893,22250,95080116,64007,273497906
TX,2025-05-26,投信,972,4157589,1390,5947705,54270,232069374,12461,53285728
TX,2025-05-26,自營商,8644,36881247,6530,27869821,5784,24667484,4202,17906682
MTX,2025-05-27,外資,59318,63115487,61586,65515426,4463,4728941,8353,8854431
MTX,2025-05-27,投信,0,0,1,1061,158,167646,23,24404
MTX,2025-05-27,自營商,6268,6658267,7109,7547403,2746,2902925,7673,8096216
TX,2025-05-27,外資,35381,150539227,36963,157238159,22307,94611274,65814,279080703
TX,2025-05-27,投信,442,1875469,1357,5753858,54182,229959244,13288,56396930
TX,2025-05-27,自營商,6882,29227033,5646,24009801,7182,30406813,4329,18318069
MTX,2025-05-28,外資,86726,92396944,86148,91778076,5135,5449005,3956,4197653
MTX,2025-05-28,投信,3,3187,4,4264,156,165750,22,23375
MTX,2025-05-28,自營商,9806,10432617,10837,11526200,2332,2463367,8341,8812990
TX,2025-05-28,外資,49030,209002774,47712,203341870,22262,94549116,65466,277962676
TX,2025-05-28,投信,747,3174657,545,2313826,54393,231170250,13297,56512250
TX,2025-05-28,自營商,7630,32501116,7923,33767993,7170,30393755,4595,19475102
MTX,2025-05-29,外資,89977,96025686,92987,99212926,6314,6722671,7971,8490750
MTX,2025-05-29,投信,0,0,2,2131,154,164141,22,23449
MTX,2025-05-29,自營商,8973,9574815,9339,9953174,2852,3024218,9225,9780469
TX,2025-05-29,外資,51810,221200208,55491,236895558,21510,91641038,68524,291870935
TX,2025-05-29,投信,386,1646007,1662,7094147,53104,226403594,13284,56635006
TX,2025-05-29,自營商,6680,28523627,6052,25864815,7570,32189452,4371,18581043
MTX,2025-06-02,外資,106851,112199294,109053,114508511,5631,5869352,6158,6419683
MTX,2025-06-02,投信,0,0,3,3132,154,160699,25,26088
MTX,2025-06-02,自營商,10107,10576333,10252,10720966,3089,3212486,9798,10164469
TX,2025-06-02,外資,62369,261801627,59801,251004624,21144,88188408,66537,277438109
TX,2025-06-02,投信,648,2704262,2748,11462950,51504,214977696,13784,57534416
TX,2025-06-02,自營商,8570,35855350,7981,33401746,8751,36433579,4959,20636424
MTX,2025-06-03,外資,88785,93259673,81982,86105125,9042,9475043,2957,3096029
MTX,2025-06-03,投信,0,0,3,3146,154,161500,28,29364
MTX,2025-06-03,自營商,10357,10861824,8249,8654979,2215,2308480,7161,7461730
TX,2025-06-03,外資,52778,221855977,47065,197817407,22652,94952162,62122,260295792
TX,2025-06-03,投信,754,3163555,2009,8436427,50113,210214012,13648,57250630
TX,2025-06-03,自營商,6646,27935866,7854,33056887,7268,30389742,4584,19174266
MTX,2025-06-04,外資,76037,80932942,69360,73822058,8831,9476560,1504,1612816
MTX,2025-06-04,投信,11,11815,0,0,154,165388,17,18257
MTX,2025-06-04,自營商,11771,12533933,10165,10843704,3375,3599684,6335,6766584
TX,2025-06-04,外資,46139,196800554,45456,193906586,25042,107507715,62207,266934142
TX,2025-06-04,投信,1854,7967935,326,1401335,51121,219605592,13128,56395262
TX,2025-06-04,自營商,7552,32242864,8152,34788856,6770,28973877,4699,20132595
MTX,2025-06-05,外資,65291,70339271,66428,71563640,7726,8319174,1698,1824510
MTX,2025-06-05,投信,5,5387,0,0,158,170277,16,17243
MTX,2025-06-05,自營商,6053,6511483,6723,7228928,3649,3906518,7087,7601825
TX,2025-06-05,外資,37841,163125352,37740,162663745,23708,102129449,60806,261803203
TX,2025-06-05,投信,1508,6498403,109,470076,52445,226079906,13053,56268872
TX,2025-06-05,自營商,4744,20431702,5065,21828981,6776,29096374,5074,21816027
MTX,2025-06-06,外資,78967,85267925,81526,88032924,6459,6957922,3122,3359430
MTX,2025-06-06,投信,1,1078,0,0,158,170371,15,16175
MTX,2025-06-06,自營商,7442,8019177,7343,7906589,3177,3405180,6439,6908136
TX,2025-06-06,外資,44960,194255125,46323,200124706,22585,97341159,61126,263322692
TX,2025-06-06,投信,12,51723,1318,5685742,51296,221249907,13210,56977372
TX,2025-06-06,自營商,4566,19700214,4375,18879226,6896,29631211,5027,21623771
MTX,2025-06-09,外資,59394,64340426,60039,65031186,7581,8225827,4763,5166597
MTX,2025-06-09,投信,6,6514,0,0,161,174838,12,13031
MTX,2025-06-09,自營商,6166,6665920,6248,6752579,3253,3512397,6371,6882562
TX,2025-06-09,外資,35637,154480771,35647,154505304,22939,99562103,61526,266904090
TX,2025-06-09,投信,567,2462312,323,1402256,51335,222988973,13005,56491119
TX,2025-06-09,自營商,4781,20715894,4514,19562586,6919,29940349,4841,20970249
MTX,2025-06-10,外資,72970,80161588,70055,76994808,9581,10585383,3760,4153837
MTX,2025-06-10,投信,0,0,0,0,161,178034,12,13270
MTX,2025-06-10,自營商,11247,12329464,10231,11241950,4394,4824812,6463,7114246
TX,2025-06-10,外資,48193,212091519,46806,206079623,25901,114468046,63032,278410861
TX,2025-06-10,投信,1327,5870841,211,931054,52188,230837962,12742,56359071
TX,2025-06-10,自營商,7504,33059229,9695,42718244,5523,24291316,5643,24899710
MTX,2025-06-11,外資,70276,78113569,68620,76268263,9230,10302059,1622,1811273
MTX,2025-06-11,投信,2,2235,0,0,163,182104,12,13406
MTX,2025-06-11,自營商,9388,10412363,9138,10139935,4550,5046339,6263,6962782
TX,2025-06-11,外資,45978,204543963,44658,198634215,25829,115279451,61559,274650615
TX,2025-06-11,投信,1532,6816996,1454,6490186,51944,232103367,12420,55500241
TX,2025-06-11,自營商,6842,30441285,6899,30684646,5286,23502464,5468,24373737
MTX,2025-06-12,外資,70043,78197670,73208,81731975,6916,7685213,2829,3142812
MTX,2025-06-12,投信,1,1113,0,0,164,182475,12,13352
MTX,2025-06-12,自營商,7660,8525485,8887,9866549,3285,3625948,6594,7289113
TX,2025-06-12,外資,43496,194163330,46583,207821222,22900,101767866,61876,274805963
TX,2025-06-12,投信,1768,7837093,1310,5825790,52263,232546328,12281,54655359
TX,2025-06-12,自營商,6751,30007494,6073,27038130,6345,28062615,5788,25693054
MTX,2025-06-13,外資,94748,104537553,98446,108592438,7791,8529650,7071,7740946
MTX,2025-06-13,投信,14,15330,12,12974,166,182070,12,12970
MTX,2025-06-13,自營商,13129,14419347,14905,16344345,3026,3284070,7756,8432016
