cb_id,stock_id,cb_name,InitialDateOfConversion,DueDateOfConversion,IssuanceAmount
23832,2383,台光二,2006-10-25,2011-09-15,400000000
23833,2383,台光三,2010-07-23,2015-06-12,400000000
23834,2383,台光電四,2017-08-17,2022-05-16,1500000000
23835,2383,台光電五,2022-07-26,2027-04-25,3465299968
23836,2383,台光電六,2024-12-26,2029-09-25,3000000000
23837,2383,台光電七,2025-01-10,2029-10-09,3000000000
23921,2392,正崴一,2006-11-09,2011-09-28,5000000000
23932,2393,億光二,2006-11-17,2011-10-06,1500000000
23933,2393,億光三,2008-01-15,2012-12-04,3000000000
23934,2393,億光四,2010-01-05,2014-11-25,2500000000
23935,2393,億光五,2014-01-21,2018-12-10,4000000000
23936,2393,億光六,2015-06-19,2020-05-18,5000000000
23952,2395,研華二,2012-05-27,2014-05-16,800000000
24022,2402,毅嘉二,2014-10-03,2017-09-02,2000000000
24023,2402,毅嘉三,2026-02-20,2028-11-19,1000000000
240601,2406,國碩E1,2012-09-04,2015-07-24,700000000
240602,2406,國碩E2,2014-06-24,2017-05-13,450000000
24061,2406,國碩一,2011-03-17,2014-02-06,750000000
24062,2406,國碩二,2012-09-04,2015-07-24,800000000
24063,2406,國碩三,2015-09-11,2018-08-10,800000000
24064,2406,國碩四,2017-09-22,2020-06-21,1200000000
24093,2409,友達三,2005-08-18,2010-07-08,6000000000
24192,2419,仲琦二,2012-02-19,2015-01-08,650000000
24193,2419,仲琦三,2013-03-01,2016-01-21,500000000
24194,2419,仲琦四,2016-07-16,2019-06-15,500000000
24213,2421,建準三,2023-08-25,2028-05-24,1200000000
24265,2426,鼎元五,2007-02-26,2012-01-13,206000000
24266,2426,鼎元六,2010-01-10,2012-09-29,300000000
24267,2426,鼎元七,2009-11-10,2012-09-29,100000000
24268,2426,鼎元八,2015-04-21,2018-03-20,300000000
24271,2427,三商電一,2024-03-14,2028-12-13,500000000
24283,2428,興勤三,2011-02-22,2016-01-11,200000000
24361,2436,偉詮電一,2023-12-12,2026-09-11,1100000000
24371,2437,旺詮一,2015-02-16,2020-01-15,1200000000
24391,2439,美律一,2015-03-01,2018-01-29,1500000000
24392,2439,美律二,2019-03-12,2021-12-11,3000000000
24393,2439,美律三,2021-11-12,2024-08-11,3000000000
24394,2439,美律四,2024-10-11,2027-07-10,2500000000
24395,2439,美律五,2024-10-23,2027-07-22,500000000
24422,2442,新美齊二,2013-04-13,2017-03-02,400000000
24423,2442,新美齊三,2025-03-01,2027-11-29,1000000000
24424,2442,新美齊四,2025-03-26,2027-12-25,600000000
24442,2444,友旺二,2015-07-30,2018-06-29,300000000
24483,2448,晶電三,2007-12-01,2012-10-21,1965600000
24511,2451,創見一,2006-12-25,2011-11-14,1500000000
24552,2455,全新二,2026-04-24,2029-01-23,500000000
24553,2455,全新三,2026-04-28,2029-01-27,500000000
24563,2456,奇力三,2007-11-03,2012-09-22,600000000
24564,2456,奇力新四,2015-06-30,2020-05-29,1500000000
24565,2456,奇力新五,2017-12-19,2020-09-18,1400000000
24566,2456,奇力新六,2019-12-13,2024-09-12,2000000000
24571,2457,飛宏一,2014-07-05,2017-05-25,1500000000
24612,2461,光群二,2011-10-23,2014-09-12,300000000
24613,2461,光群三,2011-10-24,2013-03-19,200000000
24614,2461,光群雷四,2014-11-18,2017-10-17,300000000
24615,2461,光群雷五,2014-11-21,2017-10-20,200000000
24616,2461,光群雷六,2021-06-25,2026-03-24,600000000
24622,2462,良得二,2012-07-05,2017-05-25,200000000
24623,2462,良得三,2012-07-06,2017-05-26,200000000
24624,2462,良得電四,2023-11-12,2026-08-11,400000000
24642,2464,盟立二,2024-12-17,2027-09-16,1000000000
24662,2466,冠西電二,2015-12-14,2018-11-13,200000000
24663,2466,冠西電三,2020-05-28,2023-02-27,300000000
24671,2467,志聖一,2010-02-10,2012-10-30,200000000
24672,2467,志聖二,2026-04-10,2029-01-09,700000000
24673,2467,志聖三,2026-04-23,2029-01-22,1000000000
24721,2472,立隆一,2010-10-01,2013-08-21,300000000
24722,2472,立隆電二,2019-06-19,2022-03-18,600000000
24723,2472,立隆電三,2020-10-23,2023-07-22,600000000
24741,2474,可成一,2010-01-09,2014-11-28,5000000000
24742,2474,可成二,2011-05-28,2016-04-17,4499999744
24762,2476,鉅祥二,2024-04-27,2027-01-26,1000000000
24781,2478,大毅一,2013-03-01,2018-01-18,562499968
24814,2481,強茂四,2008-07-07,2013-05-26,500000000
24815,2481,強茂五,2010-06-30,2013-06-20,500000000
24816,2481,強茂六,2013-07-12,2018-06-01,350000000
24817,2481,強茂七,2013-07-14,2018-06-03,150000000
24822,2482,連宇二,2021-10-13,2024-07-12,200000000
24843,2484,希華三,2008-07-01,2013-03-21,300000000
24863,2486,一詮三,2008-07-10,2013-05-30,1000000000
24864,2486,一詮四,2010-06-07,2015-04-26,2200000000
24865,2486,一詮五,2014-04-29,2019-03-18,1100000000
24866,2486,一詮六,2024-10-02,2027-07-01,600000000
24867,2486,一詮七,2026-10-24,2029-07-23,2000000000
24891,2489,瑞軒二,2007-01-22,2011-12-12,1500000000
24893,2489,瑞軒三,2007-12-30,2012-11-19,4000000000
24894,2489,瑞軒四,2010-02-05,2014-12-25,4000000000
24921,2492,華新科一,2020-07-30,2024-04-29,4800000000
24971,2497,怡利一,2011-03-18,2014-02-07,350000000
24972,2497,怡利電二,2022-10-08,2025-07-07,300000000
24993,2499,東貝三,2010-10-29,2015-09-19,1500000000
25052,2505,國揚二,2012-06-15,2015-05-04,900000000
25091,2509,全坤一,2007-06-18,2010-05-08,700000000
25092,2509,全坤二,2010-06-03,2013-04-23,1000000000
25143,2514,龍邦三,2012-07-06,2017-05-26,600000000
25151,2515,中工一,2014-03-25,2017-02-14,300000000
25152,2515,中工二,2014-03-26,2019-02-15,500000000
25201,2520,冠德一,2010-07-24,2013-06-14,500000000
25281,2528,皇普一,2012-05-25,2017-04-14,407000000
25282,2528,皇普二,2019-12-26,2024-09-25,700000000
25283,2528,皇普三,2025-04-01,2029-12-31,600000000
25284,2528,皇普四,2025-04-18,2030-01-17,500000000
25303,2530,華建三,2025-09-24,2028-06-23,500000000
25304,2530,華建四,2025-10-01,2028-06-30,800000000
25352,2535,達欣工二,2014-02-11,2018-12-31,600000000
25353,2535,達欣工三,2014-02-15,2019-01-04,600000000
25354,2535,達欣工四,2017-02-11,2020-01-10,960000000
25355,2535,達欣工五,2019-02-10,2021-11-09,1000000000
25362,2536,宏普二,2011-06-21,2014-05-10,1000000000
25372,2537,聯開二,2011-07-01,2014-04-20,400000000
25373,2537,聯開三,2012-10-01,2017-08-21,176750000
25374,2537,聯開四,2012-10-04,2017-08-24,130000000
25375,2537,聯上發五,2013-12-06,2018-10-26,400000000
25382,2538,基泰二,2012-11-30,2015-10-19,700000000
25383,2538,基泰三,2013-12-09,2018-10-28,1000000000
25391,2539,櫻花建一,2018-12-04,2023-09-03,200000000
25392,2539,櫻花建二,2018-12-05,2023-09-04,292000000
25423,2542,興富三,2008-10-29,2011-04-19,1500000000
25424,2542,興富四,2009-12-29,2012-04-19,1000000000
25425,2542,興富發五,2017-09-11,2022-06-08,10000000000
25461,2546,根基一,2009-08-28,2012-07-18,240000000
25472,2547,日勝二,2007-09-23,2012-08-13,1700000000
25473,2547,日勝三,2012-04-08,2015-08-28,1000000000
25474,2547,日勝四,2012-04-09,2016-02-27,800000000
25482,2548,華固二,2009-01-22,2011-07-11,1000000000
25483,2548,華固三,2025-01-03,2029-10-02,4000000000
25484,2548,華固四,2025-01-19,2029-10-18,2000000000
25961,2596,綠意一,2011-03-24,2014-02-13,300000000
25962,2596,綠意二,2014-07-18,2017-06-07,300000000
26011,2601,益航一,2015-03-07,2018-02-06,900000000
26012,2601,益航二,2015-03-10,2018-02-09,100000000
260301,2603,長榮E1,2009-08-24,2012-07-13,2500000000
26033,2603,長榮三,2009-09-08,2014-07-28,2500000000
26034,2603,長榮四,2021-08-19,2026-05-18,5000000000
26094,2609,陽明四,2013-07-08,2018-05-28,4600000000
26095,2609,陽明五,2018-08-30,2023-05-29,7600000000
26104,2610,華航三,2005-09-08,2010-07-28,10000000000
26105,2610,華航五,2014-01-27,2018-12-16,6000000000
26106,2610,華航六,2018-05-01,2023-01-30,6000000000
26107,2610,華航七,2021-07-29,2026-04-28,4499999744
26131,2613,中櫃一,2015-11-30,2018-10-29,150000000
26132,2613,中櫃二,2015-12-01,2018-10-30,150000000
26162,2616,山隆二,2008-01-12,2012-12-01,300000000
26163,2616,山隆三,2014-12-11,2019-11-10,500000000
26183,2618,長榮航三,2018-01-28,2022-10-27,7000000000
26184,2618,長榮航四,2021-01-22,2025-10-21,3000000000
26185,2618,長榮航五,2021-12-02,2026-09-01,5000000000
26301,2630,亞航一,2019-10-10,2022-07-09,200000000
26302,2630,亞航二,2019-10-11,2024-07-10,300000000
26361,2636,台驊一,2011-02-28,2016-01-17,500000000
26362,2636,台驊二,2014-02-24,2017-01-13,300000000
