date,stock_id,stock_name
2001-09-17,5406,思源科技
2001-09-17,5407,品佳
2001-09-17,5408,可成科技
2001-09-17,5409,兆赫電子
2001-09-17,5411,希華晶體科技
2001-09-17,5412,華經資訊企業
2001-09-17,5413,皇統光碟科技
2008-01-01,5414,磐英科技股份有限公司
2001-09-17,5415,飛宏企業
2001-09-17,5416,建通精密工業
2001-09-17,5417,光群雷射科技
2001-09-17,5418,敦陽科技
2001-09-17,5419,連宇
2001-09-17,5420,冠西電子企業
2002-08-26,5421,盛達電業
2001-09-17,5422,強茂
2002-08-26,5423,禾伸堂
2002-08-26,5424,零壹科技
2001-09-17,5427,美隆電器廠
2001-09-17,5428,訊碟科技
2001-09-17,5429,和立聯合科技
2001-09-17,5430,中華映管
2001-09-17,5431,一詮精密工業
2001-09-17,5433,義隆電子
2001-09-17,5435,立隆電子工業
2005-06-01,5436,立生半導體
2001-09-17,5437,力信興業
2001-09-17,5440,漢平電子工業
2001-08-24,5441,聯友光電
2005-12-07,5442,世峰
2001-09-17,5444,鉅祥企業
2001-09-17,5445,盟立自動化
2001-09-17,5446,台灣良得電子
2002-08-26,5447,建?
2002-06-20,5448,維迪
2002-07-22,5449,今皓實業
2002-08-26,5451,奇普仕
2002-07-22,5453,華立企業
2002-08-26,5456,同開科技工程
2002-08-26,5458,衛道科技
2002-08-26,5459,文瞱科技
2002-08-26,5461,增你強
2002-08-26,5462,亞洲光學
2002-08-26,5463,威健實業
2015-06-17,5466,泰林科技股份有限公司
2013-12-25,5467,聯福生科技股份有限公司
2002-08-26,5470,健鼎科技
2002-08-26,5472,台灣晶技
2005-11-11,5473,矽成
2002-08-26,5476,科風
2002-08-26,5477,遠見科技
2002-08-26,5479,宏傳電子
2019-03-29,5480,統盟電子股份有限公司
2002-08-26,5482,訊舟
2002-08-26,5485,威達電
2002-08-26,5486,全台晶像
2017-12-29,5491,連展科技股份有限公司
2009-10-30,5492,亞智科技股份有限公司
2006-06-19,5494,德鑫科技
2002-08-26,5495,佰鴻工業
2002-10-29,5496,德律科技
2005-07-18,5497,佰鈺科技  
2002-08-26,5499,聯詠科技
2008-08-28,5501,金腦科技股份有限公司
2002-01-24,5502,龍田建設
2001-10-15,5503,榮美開發科技
2001-12-19,5504,信南建設
2015-07-16,5505,和旺聯合實業股份有限公司
2015-11-26,5506,長鴻營造股份有限公司
1999-12-27,5507,易欣技術工程
2000-09-11,5509,根基營造
1999-12-15,5510,昌益建設
2001-12-03,5513,德利開發科技
2000-09-11,5517,皇翔
2002-05-20,5518,大日開發科技
2005-04-25,5524,捷力科技
2001-04-25,5526,昆泰營造廠
2002-08-26,5527,華固建設
2005-03-21,5528,廣大興業
2007-02-18,5532,竟誠建築股份有限公司
2002-03-25,5602,長榮貨櫃
2008-10-20,5605,遠東航空股份有限公司
2001-09-17,5606,長榮航空
2003-08-27,5702,統合開發
2002-08-26,5705,好樂迪
2003-07-31,5801,建弘投信
1997-05-23,5802,萬通銀行
1997-05-23,5803,大安銀行
1998-06-29,5804,萬泰銀行
1998-10-20,5805,台新銀行
1998-08-19,5806,玉山銀行
1998-06-29,5807,聯邦銀行
1999-01-08,5808,中興銀行
1998-10-16,5809,亞太銀行
2007-09-10,5810,寶華商業銀行股份有限公司
1997-09-03,5811,中華銀行
1998-11-27,5812,遠東銀行
1999-09-27,5813,安泰銀行
1998-06-29,5814,華信銀行
1999-02-04,5815,大眾銀行
1998-10-01,5816,富邦銀行
2002-02-05,5817,日盛國際商業銀行
2007-12-01,5818,華僑商業銀行股份有限公司
2002-01-28,5819,玉山票券金融
2022-11-11,5820,日盛金
2011-12-01,5854,合庫
2000-05-08,5901,華豐橡膠
2002-05-09,6001,建弘證券
2003-09-30,6002,台育證券
2002-11-08,6003,大華證券
2007-04-02,6004,元京證
2002-09-16,6006,元富證券
2001-12-19,6007,富邦綜合證券
2013-01-18,6008,凱基證券股份有限公司
2001-12-19,6009,永昌綜合證券
2002-12-31,6010,台証證券
2002-09-16,6011,寶來證券
2011-05-02,6012,金鼎證
2000-06-23,6013,京華證券
2002-02-05,6014,日盛證券
2004-10-24,6017,亞洲證券
2002-04-01,6018,新寶綜合證券
2002-09-16,6019,統一綜合證券
2017-08-28,6022,大眾綜合證券股份有限公司
2002-08-26,6102,偉訓科技
2017-10-17,6105,瑞傳科技股份有限公司
2002-08-26,6106,信邦電子
2018-06-27,6107,華美電子股份有限公司
2008-10-21,6110,艾群科技股份有限公司
2012-03-01,6119,大傳
2021-07-05,6131,鈞泰
2005-11-07,6132,銳普
2016-03-30,6135,佳營電子股份有限公司
2006-12-25,6137,新寶科
2018-10-01,6145,勁永
2009-05-03,6149,禾鴻科技股份有限公司
2004-07-26,6157,一等高科技
2009-02-06,6159,詮鼎科技股份有限公司
2006-02-27,6162,鴻源科技
2022-06-29,6172,互億
2006-10-01,6178,振遠科技
2005-06-28,6181,宇詮科技
2005-01-29,6193,洪氏英
2016-01-04,6211,福登精密工業股份有限公司
2008-09-03,6232,仕欽科技企業股份有限公司
2020-06-19,6238,勝麗
2023-02-10,6247,淇譽電
2016-05-25,6250,宇加科技股份有限公司
2022-08-25,6251,定穎
2010-09-15,6255,奈普
2007-01-09,6262,鼎太國際股份有限公司
2007-08-21,6280,崇貿
2016-04-29,6286,立錡
2025-06-23,6287,元隆
2025-08-15,6288,聯嘉光電
2022-09-26,6289,華上
2018-10-01,6298,崴強科技股份有限公司
2004-08-03,6401,助群營造
2009-05-11,6402,基泰營造股份有限公司
2024-07-02,6404,通訊-KY
2018-09-28,6422,君耀-KY
2021-04-01,6452,康友-KY
2025-01-01,6457,紘康
2020-08-25,6497,亞獅康-KY
2004-08-03,6502,國隆纖維
2024-10-18,6514,芮特-KY
2018-05-31,6554,中美冠科生物技術股份有限公司
2023-04-01,6594,展匯科
2017-02-02,6702,興航
2025-12-04,6747,亨泰光
2026-06-23,6806,森崴能源
2003-07-14,8002,資訊傳真
2002-01-23,8006,歐格電子工業
2002-10-09,8007,商合行
2013-07-12,8008,建興電
2004-08-03,8009,昱昕電子
2004-08-03,8010,宏廣
2004-08-03,8012,台灣琭旦
2004-08-03,8014,益和
2007-08-29,8017,展茂光電股份有限公司
2016-05-11,8053,巨擘科技股份有限公司
2014-02-27,8078,華寶
2016-09-01,8079,誠遠科技股份有限公司
2016-09-26,8082,漢承泰企業股份有限公司
2012-12-28,8199,廣鎵
2016-11-15,8266,中日新科技股份有限公司
2020-05-11,8287,英格爾科技股份有限公司
2003-06-19,8303,華登
2022-04-29,8406,金可-KY
2024-01-31,8418,捷必勝-KY
2024-11-29,8420,明揚
2022-03-03,8427,基勝-KY
2022-12-21,8480,泰昇-KY
2020-10-30,8497,格威傳媒
2003-04-28,8701,正豐化學
2003-04-28,8702,羽田機械
2000-07-31,8704,大業綜合工業
2013-01-01,8705,東隆五金工業股份有限公司
2001-07-10,8706,金緯纖維
2003-09-03,8707,中精機
2004-03-15,8708,大中鋼鐵
2003-04-28,8709,峰安金屬
2003-09-03,8710,易欣技術工程
2001-11-14,8711,大穎企業
2003-09-03,8712,國產汽車
2003-04-28,8713,延穎實業
2003-04-28,8714,紐新企業
2000-12-19,8715,中強電子
2001-05-29,8716,尖美建設開發
2001-10-22,8717,瑞圓纖維
2003-09-03,8718,台灣工礦
2003-09-03,8719,宏福建設
2003-09-22,8720,元富鋁業
2004-02-09,8721,尚鋒興業
2004-11-01,8722,尚德興業
2004-01-19,8723,順大裕
2004-11-16,8724,立大農畜興業
2005-01-03,8725,三采建設實業
1999-06-28,8901,秋雨印刷
2000-09-11,8903,全國加油站
1999-12-27,8907,三粹企業
2001-04-25,8910,五洲製革
2000-09-11,8911,欣錩國際
2020-01-20,8913,全銓租賃股份有限公司
2000-03-21,8914,欣高石油氣
2000-09-11,8915,慶豐富
2000-09-11,8918,成霖
2001-09-17,8920,信義房屋仲介
2001-09-17,8922,裕融企業
2016-06-27,8925,偉盟工業股份有限公司
2020-11-18,8934,衡平
2002-08-26,8939,新麗企業
2015-05-13,910069,新曄科技
2008-07-14,9101,福雷電
2011-01-17,9102,東亞科
2012-08-28,9104,萬宇科
2020-06-15,910482,聖馬丁-DR
2013-07-30,910579,歐聖集團
2017-06-27,9106,新焦點-DR
2019-06-10,910708,恒大健-DR
2017-12-13,910801,金衛-DR
2015-03-01,910948,融達
2014-12-30,911201,僑威集團
2013-12-03,911602,華豐泰國
2012-11-06,911606,超級集團
2015-06-17,911609,揚子江
2014-01-28,911610,聯合環境
2016-11-29,911611,中泰山-DR
2016-01-26,911612,滬安電力
2021-09-03,911613,特藝石油能源有限公司
2021-08-31,911616,杜康-DR
2019-08-19,911619,耀傑-DR
2016-11-01,911626,MSH-DR
2021-12-13,912398,友佳-DR
2015-12-29,913889,大成糖
2013-10-15,9151,旺旺
2019-11-12,9157,陽光能源-DR
2012-03-28,916665,爾必達
2022-03-18,9188,精熙-DR
2007-04-11,9801,中國力霸
2002-01-17,9913,美式家具
2008-03-01,9915,億豐
2010-06-21,9922,優美
2002-04-17,9932,順大裕
2005-06-20,9936,欣錩國際
